gd, mm, dd, it, volume, hist_volume, weather
2,9,19,12,14,14 14 14 14 14 14,100.83 101.33 1.875 4.5 24.4 67.0 0.0
3,9,19,12,11,11 14 18 10 10 9,100.83 101.33 1.875 4.5 24.4 67.0 0.0
4,9,19,12,4,5 4 5 5 3 10,100.83 101.33 1.875 4.5 24.4 67.0 0.0
0,9,19,13,13,10 6 9 4 9 10,100.83 101.33 1.875 4.5 24.4 67.0 0.0
1,9,19,13,17,7 10 10 14 20 18,100.83 101.33 1.875 4.5 24.4 67.0 0.0
2,9,19,13,14,14 14 14 14 14 14,100.83 101.33 1.875 4.5 24.4 67.0 0.0
3,9,19,13,8,14 18 10 10 9 11,100.83 101.33 1.875 4.5 24.4 67.0 0.0
4,9,19,13,7,4 5 5 3 10 4,100.83 101.33 1.875 4.5 24.4 67.0 0.0
0,9,19,14,12,6 9 4 9 10 13,100.83 101.33 1.875 4.5 24.4 67.0 0.0
1,9,19,14,23,10 10 14 20 18 17,100.83 101.33 1.875 4.5 24.4 67.0 0.0
2,9,19,14,14,14 14 14 14 14 14,100.83 101.33 1.875 4.5 24.4 67.0 0.0
3,9,19,14,10,18 10 10 9 11 8,100.83 101.33 1.875 4.5 24.4 67.0 0.0
4,9,19,14,3,5 5 3 10 4 7,100.83 101.33 1.875 4.5 24.4 67.0 0.0
0,9,19,15,2,9 4 9 10 13 12,100.83 101.33 1.875 4.5 24.4 67.0 0.0
1,9,19,15,28,10 14 20 18 17 23,100.83 101.33 1.875 4.5 24.4 67.0 0.0
2,9,19,15,14,14 14 14 14 14 14,100.83 101.33 1.875 4.5 24.4 67.0 0.0
3,9,19,15,9,10 10 9 11 8 10,100.83 101.33 1.875 4.5 24.4 67.0 0.0
4,9,19,15,11,5 3 10 4 7 3,100.83 101.33 1.875 4.5 24.4 67.0 0.0
0,9,19,16,8,4 9 10 13 12 2,100.83 101.33 1.875 4.5 24.4 67.0 0.0
1,9,19,16,24,14 20 18 17 23 28,100.83 101.33 1.875 4.5 24.4 67.0 0.0
2,9,19,16,12,14 14 14 14 14 14,100.83 101.33 1.875 4.5 24.4 67.0 0.0
3,9,19,16,14,10 9 11 8 10 9,100.83 101.33 1.875 4.5 24.4 67.0 0.0
4,9,19,16,7,3 10 4 7 3 11,100.83 101.33 1.875 4.5 24.4 67.0 0.0
0,9,19,17,13,9 10 13 12 2 8,100.83 101.33 1.875 4.5 24.4 67.0 0.0
1,9,19,17,34,20 18 17 23 28 24,100.83 101.33 1.875 4.5 24.4 67.0 0.0
2,9,19,17,21,14 14 14 14 14 12,100.83 101.33 1.875 4.5 24.4 67.0 0.0
3,9,19,17,27,9 11 8 10 9 14,100.83 101.33 1.875 4.5 24.4 67.0 0.0
4,9,19,17,13,10 4 7 3 11 7,100.83 101.33 1.875 4.5 24.4 67.0 0.0
0,9,19,18,8,10 13 12 2 8 13,100.74 101.23 1.5 6.2 26.8 56.0 0.0
1,9,19,18,39,18 17 23 28 24 34,100.74 101.23 1.5 6.2 26.8 56.0 0.0
2,9,19,18,30,14 14 14 14 12 21,100.74 101.23 1.5 6.2 26.8 56.0 0.0
3,9,19,18,39,11 8 10 9 14 27,100.74 101.23 1.5 6.2 26.8 56.0 0.0
4,9,19,18,30,4 7 3 11 7 13,100.74 101.23 1.5 6.2 26.8 56.0 0.0
0,9,19,19,13,13 12 2 8 13 8,100.74 101.23 1.5 6.2 26.8 56.0 0.0
1,9,19,19,57,17 23 28 24 34 39,100.74 101.23 1.5 6.2 26.8 56.0 0.0
2,9,19,19,36,14 14 14 12 21 30,100.74 101.23 1.5 6.2 26.8 56.0 0.0
3,9,19,19,58,8 10 9 14 27 39,100.74 101.23 1.5 6.2 26.8 56.0 0.0
4,9,19,19,38,7 3 11 7 13 30,100.74 101.23 1.5 6.2 26.8 56.0 0.0
0,9,19,20,32,12 2 8 13 8 13,100.74 101.23 1.5 6.2 26.8 56.0 0.0
1,9,19,20,72,23 28 24 34 39 57,100.74 101.23 1.5 6.2 26.8 56.0 0.0
2,9,19,20,37,14 14 12 21 30 36,100.74 101.23 1.5 6.2 26.8 56.0 0.0
3,9,19,20,71,10 9 14 27 39 58,100.74 101.23 1.5 6.2 26.8 56.0 0.0
4,9,19,20,65,3 11 7 13 30 38,100.74 101.23 1.5 6.2 26.8 56.0 0.0
0,9,19,21,39,2 8 13 8 13 32,100.74 101.23 1.5 6.2 26.8 56.0 0.0
1,9,19,21,70,28 24 34 39 57 72,100.74 101.23 1.5 6.2 26.8 56.0 0.0
2,9,19,21,84,14 12 21 30 36 37,100.74 101.23 1.5 6.2 26.8 56.0 0.0
3,9,19,21,127,9 14 27 39 58 71,100.74 101.23 1.5 6.2 26.8 56.0 0.0
4,9,19,21,67,11 7 13 30 38 65,100.74 101.23 1.5 6.2 26.8 56.0 0.0
0,9,19,22,31,8 13 8 13 32 39,100.74 101.23 1.5 6.2 26.8 56.0 0.0
1,9,19,22,83,24 34 39 57 72 70,100.74 101.23 1.5 6.2 26.8 56.0 0.0
2,9,19,22,80,12 21 30 36 37 84,100.74 101.23 1.5 6.2 26.8 56.0 0.0
3,9,19,22,123,14 27 39 58 71 127,100.74 101.23 1.5 6.2 26.8 56.0 0.0
4,9,19,22,71,7 13 30 38 65 67,100.74 101.23 1.5 6.2 26.8 56.0 0.0
0,9,19,23,43,13 8 13 32 39 31,100.74 101.23 1.5 6.2 26.8 56.0 0.0
1,9,19,23,118,34 39 57 72 70 83,100.74 101.23 1.5 6.2 26.8 56.0 0.0
2,9,19,23,97,21 30 36 37 84 80,100.74 101.23 1.5 6.2 26.8 56.0 0.0
3,9,19,23,153,27 39 58 71 127 123,100.74 101.23 1.5 6.2 26.8 56.0 0.0
4,9,19,23,103,13 30 38 65 67 71,100.74 101.23 1.5 6.2 26.8 56.0 0.0
0,9,19,24,46,8 13 32 39 31 43,100.74 101.23 1.5 6.2 26.8 56.0 0.0
1,9,19,24,123,39 57 72 70 83 118,100.74 101.23 1.5 6.2 26.8 56.0 0.0
2,9,19,24,129,30 36 37 84 80 97,100.74 101.23 1.5 6.2 26.8 56.0 0.0
3,9,19,24,161,39 58 71 127 123 153,100.74 101.23 1.5 6.2 26.8 56.0 0.0
4,9,19,24,118,30 38 65 67 71 103,100.74 101.23 1.5 6.2 26.8 56.0 0.0
0,9,19,25,56,13 32 39 31 43 46,100.74 101.23 1.5 6.2 26.8 56.0 0.0
1,9,19,25,119,57 72 70 83 118 123,100.74 101.23 1.5 6.2 26.8 56.0 0.0
2,9,19,25,122,36 37 84 80 97 129,100.74 101.23 1.5 6.2 26.8 56.0 0.0
3,9,19,25,167,58 71 127 123 153 161,100.74 101.23 1.5 6.2 26.8 56.0 0.0
4,9,19,25,168,38 65 67 71 103 118,100.74 101.23 1.5 6.2 26.8 56.0 0.0
0,9,19,26,41,32 39 31 43 46 56,100.74 101.23 1.5 6.2 26.8 56.0 0.0
1,9,19,26,116,72 70 83 118 123 119,100.74 101.23 1.5 6.2 26.8 56.0 0.0
2,9,19,26,98,37 84 80 97 129 122,100.74 101.23 1.5 6.2 26.8 56.0 0.0
3,9,19,26,138,71 127 123 153 161 167,100.74 101.23 1.5 6.2 26.8 56.0 0.0
4,9,19,26,161,65 67 71 103 118 168,100.74 101.23 1.5 6.2 26.8 56.0 0.0
0,9,19,27,50,39 31 43 46 56 41,100.83 101.33 43.875 5.3 23.8 72.0 0.1
1,9,19,27,120,70 83 118 123 119 116,100.83 101.33 43.875 5.3 23.8 72.0 0.1
2,9,19,27,89,84 80 97 129 122 98,100.83 101.33 43.875 5.3 23.8 72.0 0.1
3,9,19,27,174,127 123 153 161 167 138,100.83 101.33 43.875 5.3 23.8 72.0 0.1
4,9,19,27,145,67 71 103 118 168 161,100.83 101.33 43.875 5.3 23.8 72.0 0.1
0,9,19,28,49,31 43 46 56 41 50,100.83 101.33 43.875 5.3 23.8 72.0 0.1
1,9,19,28,151,83 118 123 119 116 120,100.83 101.33 43.875 5.3 23.8 72.0 0.1
2,9,19,28,78,80 97 129 122 98 89,100.83 101.33 43.875 5.3 23.8 72.0 0.1
3,9,19,28,144,123 153 161 167 138 174,100.83 101.33 43.875 5.3 23.8 72.0 0.1
4,9,19,28,125,71 103 118 168 161 145,100.83 101.33 43.875 5.3 23.8 72.0 0.1
0,9,19,29,44,43 46 56 41 50 49,100.83 101.33 43.875 5.3 23.8 72.0 0.1
1,9,19,29,131,118 123 119 116 120 151,100.83 101.33 43.875 5.3 23.8 72.0 0.1
2,9,19,29,59,97 129 122 98 89 78,100.83 101.33 43.875 5.3 23.8 72.0 0.1
3,9,19,29,148,153 161 167 138 174 144,100.83 101.33 43.875 5.3 23.8 72.0 0.1
4,9,19,29,116,103 118 168 161 145 125,100.83 101.33 43.875 5.3 23.8 72.0 0.1
0,9,19,30,44,46 56 41 50 49 44,100.83 101.33 43.875 5.3 23.8 72.0 0.1
1,9,19,30,101,123 119 116 120 151 131,100.83 101.33 43.875 5.3 23.8 72.0 0.1
2,9,19,30,71,129 122 98 89 78 59,100.83 101.33 43.875 5.3 23.8 72.0 0.1
3,9,19,30,104,161 167 138 174 144 148,100.83 101.33 43.875 5.3 23.8 72.0 0.1
4,9,19,30,117,118 168 161 145 125 116,100.83 101.33 43.875 5.3 23.8 72.0 0.1
0,9,19,31,44,56 41 50 49 44 44,100.83 101.33 43.875 5.3 23.8 72.0 0.1
1,9,19,31,105,119 116 120 151 131 101,100.83 101.33 43.875 5.3 23.8 72.0 0.1
2,9,19,31,88,122 98 89 78 59 71,100.83 101.33 43.875 5.3 23.8 72.0 0.1
3,9,19,31,111,167 138 174 144 148 104,100.83 101.33 43.875 5.3 23.8 72.0 0.1
4,9,19,31,87,168 161 145 125 116 117,100.83 101.33 43.875 5.3 23.8 72.0 0.1
0,9,19,32,44,41 50 49 44 44 44,100.83 101.33 43.875 5.3 23.8 72.0 0.1
1,9,19,32,102,116 120 151 131 101 105,100.83 101.33 43.875 5.3 23.8 72.0 0.1
2,9,19,32,65,98 89 78 59 71 88,100.83 101.33 43.875 5.3 23.8 72.0 0.1
3,9,19,32,122,138 174 144 148 104 111,100.83 101.33 43.875 5.3 23.8 72.0 0.1
4,9,19,32,85,161 145 125 116 117 87,100.83 101.33 43.875 5.3 23.8 72.0 0.1
0,9,19,33,39,50 49 44 44 44 44,100.83 101.33 43.875 5.3 23.8 72.0 0.1
1,9,19,33,86,120 151 131 101 105 102,100.83 101.33 43.875 5.3 23.8 72.0 0.1
2,9,19,33,50,89 78 59 71 88 65,100.83 101.33 43.875 5.3 23.8 72.0 0.1
3,9,19,33,111,174 144 148 104 111 122,100.83 101.33 43.875 5.3 23.8 72.0 0.1
4,9,19,33,73,145 125 116 117 87 85,100.83 101.33 43.875 5.3 23.8 72.0 0.1
0,9,19,34,30,49 44 44 44 44 39,100.83 101.33 43.875 5.3 23.8 72.0 0.1
1,9,19,34,76,151 131 101 105 102 86,100.83 101.33 43.875 5.3 23.8 72.0 0.1
2,9,19,34,61,78 59 71 88 65 50,100.83 101.33 43.875 5.3 23.8 72.0 0.1
3,9,19,34,82,144 148 104 111 122 111,100.83 101.33 43.875 5.3 23.8 72.0 0.1
4,9,19,34,72,125 116 117 87 85 73,100.83 101.33 43.875 5.3 23.8 72.0 0.1
0,9,19,35,34,44 44 44 44 39 30,100.83 101.33 43.875 5.3 23.8 72.0 0.1
1,9,19,35,100,131 101 105 102 86 76,100.83 101.33 43.875 5.3 23.8 72.0 0.1
2,9,19,35,46,59 71 88 65 50 61,100.83 101.33 43.875 5.3 23.8 72.0 0.1
3,9,19,35,91,148 104 111 122 111 82,100.83 101.33 43.875 5.3 23.8 72.0 0.1
4,9,19,35,73,116 117 87 85 73 72,100.83 101.33 43.875 5.3 23.8 72.0 0.1
0,9,19,36,45,44 44 44 39 30 34,101.04 101.54 37.75 2.3 20.8 92.0 1.1
1,9,19,36,99,101 105 102 86 76 100,101.04 101.54 37.75 2.3 20.8 92.0 1.1
2,9,19,36,87,71 88 65 50 61 46,101.04 101.54 37.75 2.3 20.8 92.0 1.1
3,9,19,36,104,104 111 122 111 82 91,101.04 101.54 37.75 2.3 20.8 92.0 1.1
4,9,19,36,94,117 87 85 73 72 73,101.04 101.54 37.75 2.3 20.8 92.0 1.1
0,9,19,37,44,44 44 39 30 34 45,101.04 101.54 37.75 2.3 20.8 92.0 1.1
1,9,19,37,70,105 102 86 76 100 99,101.04 101.54 37.75 2.3 20.8 92.0 1.1
2,9,19,37,66,88 65 50 61 46 87,101.04 101.54 37.75 2.3 20.8 92.0 1.1
3,9,19,37,91,111 122 111 82 91 104,101.04 101.54 37.75 2.3 20.8 92.0 1.1
4,9,19,37,86,87 85 73 72 73 94,101.04 101.54 37.75 2.3 20.8 92.0 1.1
0,9,19,38,53,44 39 30 34 45 44,101.04 101.54 37.75 2.3 20.8 92.0 1.1
1,9,19,38,79,102 86 76 100 99 70,101.04 101.54 37.75 2.3 20.8 92.0 1.1
2,9,19,38,69,65 50 61 46 87 66,101.04 101.54 37.75 2.3 20.8 92.0 1.1
3,9,19,38,122,122 111 82 91 104 91,101.04 101.54 37.75 2.3 20.8 92.0 1.1
4,9,19,38,94,85 73 72 73 94 86,101.04 101.54 37.75 2.3 20.8 92.0 1.1
0,9,19,39,57,39 30 34 45 44 53,101.04 101.54 37.75 2.3 20.8 92.0 1.1
1,9,19,39,100,86 76 100 99 70 79,101.04 101.54 37.75 2.3 20.8 92.0 1.1
2,9,19,39,81,50 61 46 87 66 69,101.04 101.54 37.75 2.3 20.8 92.0 1.1
3,9,19,39,117,111 82 91 104 91 122,101.04 101.54 37.75 2.3 20.8 92.0 1.1
4,9,19,39,91,73 72 73 94 86 94,101.04 101.54 37.75 2.3 20.8 92.0 1.1
0,9,19,40,61,30 34 45 44 53 57,101.04 101.54 37.75 2.3 20.8 92.0 1.1
1,9,19,40,108,76 100 99 70 79 100,101.04 101.54 37.75 2.3 20.8 92.0 1.1
2,9,19,40,95,61 46 87 66 69 81,101.04 101.54 37.75 2.3 20.8 92.0 1.1
3,9,19,40,107,82 91 104 91 122 117,101.04 101.54 37.75 2.3 20.8 92.0 1.1
4,9,19,40,110,72 73 94 86 94 91,101.04 101.54 37.75 2.3 20.8 92.0 1.1
0,9,19,41,53,34 45 44 53 57 61,101.04 101.54 37.75 2.3 20.8 92.0 1.1
1,9,19,41,106,100 99 70 79 100 108,101.04 101.54 37.75 2.3 20.8 92.0 1.1
2,9,19,41,67,46 87 66 69 81 95,101.04 101.54 37.75 2.3 20.8 92.0 1.1
3,9,19,41,131,91 104 91 122 117 107,101.04 101.54 37.75 2.3 20.8 92.0 1.1
4,9,19,41,100,73 94 86 94 91 110,101.04 101.54 37.75 2.3 20.8 92.0 1.1
0,9,19,42,55,45 44 53 57 61 53,101.04 101.54 37.75 2.3 20.8 92.0 1.1
1,9,19,42,101,99 70 79 100 108 106,101.04 101.54 37.75 2.3 20.8 92.0 1.1
2,9,19,42,66,87 66 69 81 95 67,101.04 101.54 37.75 2.3 20.8 92.0 1.1
3,9,19,42,100,104 91 122 117 107 131,101.04 101.54 37.75 2.3 20.8 92.0 1.1
4,9,19,42,95,94 86 94 91 110 100,101.04 101.54 37.75 2.3 20.8 92.0 1.1
0,9,19,43,52,44 53 57 61 53 55,101.04 101.54 37.75 2.3 20.8 92.0 1.1
1,9,19,43,100,70 79 100 108 106 101,101.04 101.54 37.75 2.3 20.8 92.0 1.1
2,9,19,43,62,66 69 81 95 67 66,101.04 101.54 37.75 2.3 20.8 92.0 1.1
3,9,19,43,84,91 122 117 107 131 100,101.04 101.54 37.75 2.3 20.8 92.0 1.1
4,9,19,43,99,86 94 91 110 100 95,101.04 101.54 37.75 2.3 20.8 92.0 1.1
0,9,19,44,52,53 57 61 53 55 52,101.04 101.54 37.75 2.3 20.8 92.0 1.1
1,9,19,44,101,79 100 108 106 101 100,101.04 101.54 37.75 2.3 20.8 92.0 1.1
2,9,19,44,79,69 81 95 67 66 62,101.04 101.54 37.75 2.3 20.8 92.0 1.1
3,9,19,44,107,122 117 107 131 100 84,101.04 101.54 37.75 2.3 20.8 92.0 1.1
4,9,19,44,93,94 91 110 100 95 99,101.04 101.54 37.75 2.3 20.8 92.0 1.1
0,9,19,45,48,57 61 53 55 52 52,101.11 101.61 2.25 2.6 21.4 80.0 0.0
1,9,19,45,77,100 108 106 101 100 101,101.11 101.61 2.25 2.6 21.4 80.0 0.0
2,9,19,45,77,81 95 67 66 62 79,101.11 101.61 2.25 2.6 21.4 80.0 0.0
3,9,19,45,117,117 107 131 100 84 107,101.11 101.61 2.25 2.6 21.4 80.0 0.0
4,9,19,45,75,91 110 100 95 99 93,101.11 101.61 2.25 2.6 21.4 80.0 0.0
0,9,19,46,57,61 53 55 52 52 48,101.11 101.61 2.25 2.6 21.4 80.0 0.0
1,9,19,46,104,108 106 101 100 101 77,101.11 101.61 2.25 2.6 21.4 80.0 0.0
2,9,19,46,67,95 67 66 62 79 77,101.11 101.61 2.25 2.6 21.4 80.0 0.0
3,9,19,46,109,107 131 100 84 107 117,101.11 101.61 2.25 2.6 21.4 80.0 0.0
4,9,19,46,95,110 100 95 99 93 75,101.11 101.61 2.25 2.6 21.4 80.0 0.0
0,9,19,47,43,53 55 52 52 48 57,101.11 101.61 2.25 2.6 21.4 80.0 0.0
1,9,19,47,92,106 101 100 101 77 104,101.11 101.61 2.25 2.6 21.4 80.0 0.0
2,9,19,47,74,67 66 62 79 77 67,101.11 101.61 2.25 2.6 21.4 80.0 0.0
3,9,19,47,115,131 100 84 107 117 109,101.11 101.61 2.25 2.6 21.4 80.0 0.0
4,9,19,47,83,100 95 99 93 75 95,101.11 101.61 2.25 2.6 21.4 80.0 0.0
0,9,19,48,42,55 52 52 48 57 43,101.11 101.61 2.25 2.6 21.4 80.0 0.0
1,9,19,48,110,101 100 101 77 104 92,101.11 101.61 2.25 2.6 21.4 80.0 0.0
2,9,19,48,76,66 62 79 77 67 74,101.11 101.61 2.25 2.6 21.4 80.0 0.0
3,9,19,48,123,100 84 107 117 109 115,101.11 101.61 2.25 2.6 21.4 80.0 0.0
4,9,19,48,101,95 99 93 75 95 83,101.11 101.61 2.25 2.6 21.4 80.0 0.0
0,9,19,49,46,52 52 48 57 43 42,101.11 101.61 2.25 2.6 21.4 80.0 0.0
1,9,19,49,122,100 101 77 104 92 110,101.11 101.61 2.25 2.6 21.4 80.0 0.0
2,9,19,49,86,62 79 77 67 74 76,101.11 101.61 2.25 2.6 21.4 80.0 0.0
3,9,19,49,111,84 107 117 109 115 123,101.11 101.61 2.25 2.6 21.4 80.0 0.0
4,9,19,49,90,99 93 75 95 83 101,101.11 101.61 2.25 2.6 21.4 80.0 0.0
0,9,19,50,55,52 48 57 43 42 46,101.11 101.61 2.25 2.6 21.4 80.0 0.0
1,9,19,50,116,101 77 104 92 110 122,101.11 101.61 2.25 2.6 21.4 80.0 0.0
2,9,19,50,99,79 77 67 74 76 86,101.11 101.61 2.25 2.6 21.4 80.0 0.0
3,9,19,50,116,107 117 109 115 123 111,101.11 101.61 2.25 2.6 21.4 80.0 0.0
4,9,19,50,115,93 75 95 83 101 90,101.11 101.61 2.25 2.6 21.4 80.0 0.0
0,9,19,51,36,48 57 43 42 46 55,101.11 101.61 2.25 2.6 21.4 80.0 0.0
1,9,19,51,96,77 104 92 110 122 116,101.11 101.61 2.25 2.6 21.4 80.0 0.0
2,9,19,51,85,77 67 74 76 86 99,101.11 101.61 2.25 2.6 21.4 80.0 0.0
3,9,19,51,110,117 109 115 123 111 116,101.11 101.61 2.25 2.6 21.4 80.0 0.0
4,9,19,51,86,75 95 83 101 90 115,101.11 101.61 2.25 2.6 21.4 80.0 0.0
0,9,19,52,34,57 43 42 46 55 36,101.11 101.61 2.25 2.6 21.4 80.0 0.0
1,9,19,52,116,104 92 110 122 116 96,101.11 101.61 2.25 2.6 21.4 80.0 0.0
2,9,19,52,72,67 74 76 86 99 85,101.11 101.61 2.25 2.6 21.4 80.0 0.0
3,9,19,52,118,109 115 123 111 116 110,101.11 101.61 2.25 2.6 21.4 80.0 0.0
4,9,19,52,85,95 83 101 90 115 86,101.11 101.61 2.25 2.6 21.4 80.0 0.0
0,9,19,53,24,43 42 46 55 36 34,101.11 101.61 2.25 2.6 21.4 80.0 0.0
1,9,19,53,112,92 110 122 116 96 116,101.11 101.61 2.25 2.6 21.4 80.0 0.0
2,9,19,53,53,74 76 86 99 85 72,101.11 101.61 2.25 2.6 21.4 80.0 0.0
3,9,19,53,95,115 123 111 116 110 118,101.11 101.61 2.25 2.6 21.4 80.0 0.0
4,9,19,53,91,83 101 90 115 86 85,101.11 101.61 2.25 2.6 21.4 80.0 0.0
0,9,19,54,29,42 46 55 36 34 24,101.11 101.61 41.625 2.4 20.2 75.0 0.0
1,9,19,54,67,110 122 116 96 116 112,101.11 101.61 41.625 2.4 20.2 75.0 0.0
2,9,19,54,55,76 86 99 85 72 53,101.11 101.61 41.625 2.4 20.2 75.0 0.0
3,9,19,54,94,123 111 116 110 118 95,101.11 101.61 41.625 2.4 20.2 75.0 0.0
4,9,19,54,73,101 90 115 86 85 91,101.11 101.61 41.625 2.4 20.2 75.0 0.0
0,9,19,55,27,46 55 36 34 24 29,101.11 101.61 41.625 2.4 20.2 75.0 0.0
1,9,19,55,94,122 116 96 116 112 67,101.11 101.61 41.625 2.4 20.2 75.0 0.0
2,9,19,55,50,86 99 85 72 53 55,101.11 101.61 41.625 2.4 20.2 75.0 0.0
3,9,19,55,56,111 116 110 118 95 94,101.11 101.61 41.625 2.4 20.2 75.0 0.0
4,9,19,55,78,90 115 86 85 91 73,101.11 101.61 41.625 2.4 20.2 75.0 0.0
0,9,19,56,18,55 36 34 24 29 27,101.11 101.61 41.625 2.4 20.2 75.0 0.0
1,9,19,56,65,116 96 116 112 67 94,101.11 101.61 41.625 2.4 20.2 75.0 0.0
2,9,19,56,49,99 85 72 53 55 50,101.11 101.61 41.625 2.4 20.2 75.0 0.0
3,9,19,56,61,116 110 118 95 94 56,101.11 101.61 41.625 2.4 20.2 75.0 0.0
4,9,19,56,77,115 86 85 91 73 78,101.11 101.61 41.625 2.4 20.2 75.0 0.0
0,9,19,57,13,36 34 24 29 27 18,101.11 101.61 41.625 2.4 20.2 75.0 0.0
1,9,19,57,62,96 116 112 67 94 65,101.11 101.61 41.625 2.4 20.2 75.0 0.0
2,9,19,57,44,85 72 53 55 50 49,101.11 101.61 41.625 2.4 20.2 75.0 0.0
3,9,19,57,51,110 118 95 94 56 61,101.11 101.61 41.625 2.4 20.2 75.0 0.0
4,9,19,57,44,86 85 91 73 78 77,101.11 101.61 41.625 2.4 20.2 75.0 0.0
0,9,19,58,22,34 24 29 27 18 13,101.11 101.61 41.625 2.4 20.2 75.0 0.0
1,9,19,58,44,116 112 67 94 65 62,101.11 101.61 41.625 2.4 20.2 75.0 0.0
2,9,19,58,49,72 53 55 50 49 44,101.11 101.61 41.625 2.4 20.2 75.0 0.0
3,9,19,58,61,118 95 94 56 61 51,101.11 101.61 41.625 2.4 20.2 75.0 0.0
4,9,19,58,45,85 91 73 78 77 44,101.11 101.61 41.625 2.4 20.2 75.0 0.0
0,9,19,59,27,24 29 27 18 13 22,101.11 101.61 41.625 2.4 20.2 75.0 0.0
1,9,19,59,41,112 67 94 65 62 44,101.11 101.61 41.625 2.4 20.2 75.0 0.0
2,9,19,59,41,53 55 50 49 44 49,101.11 101.61 41.625 2.4 20.2 75.0 0.0
3,9,19,59,50,95 94 56 61 51 61,101.11 101.61 41.625 2.4 20.2 75.0 0.0
4,9,19,59,46,91 73 78 77 44 45,101.11 101.61 41.625 2.4 20.2 75.0 0.0
0,9,19,60,17,29 27 18 13 22 27,101.11 101.61 41.625 2.4 20.2 75.0 0.0
1,9,19,60,48,67 94 65 62 44 41,101.11 101.61 41.625 2.4 20.2 75.0 0.0
2,9,19,60,56,55 50 49 44 49 41,101.11 101.61 41.625 2.4 20.2 75.0 0.0
3,9,19,60,55,94 56 61 51 61 50,101.11 101.61 41.625 2.4 20.2 75.0 0.0
4,9,19,60,32,73 78 77 44 45 46,101.11 101.61 41.625 2.4 20.2 75.0 0.0
0,9,19,61,16,27 18 13 22 27 17,101.11 101.61 41.625 2.4 20.2 75.0 0.0
1,9,19,61,34,94 65 62 44 41 48,101.11 101.61 41.625 2.4 20.2 75.0 0.0
2,9,19,61,21,50 49 44 49 41 56,101.11 101.61 41.625 2.4 20.2 75.0 0.0
3,9,19,61,29,56 61 51 61 50 55,101.11 101.61 41.625 2.4 20.2 75.0 0.0
