gd, mm, dd, itv, volume
1,9,20,33,57
1,9,20,34,64
1,9,20,35,50
1,9,20,36,53
1,9,20,37,62
1,9,20,38,75
1,9,20,39,98
1,9,20,40,82
1,9,20,41,84
1,9,20,42,81
1,9,20,43,90
1,9,20,44,67
1,9,20,45,71
1,9,20,46,64
1,9,20,47,73
1,9,20,48,48
1,9,20,49,57
1,9,20,50,48
1,9,20,51,38
1,9,20,52,42
1,9,20,53,38
1,9,20,54,26
1,9,20,55,29
1,9,20,56,20
1,9,20,57,17
1,9,20,58,29
1,9,20,59,21
1,9,20,60,12
1,9,20,61,16
1,9,20,62,16
1,9,20,63,17
1,9,20,64,29
1,9,20,65,37
1,9,20,66,30
1,9,20,67,17
1,9,20,68,19
1,9,20,69,20
1,9,20,70,7
1,9,20,71,11
1,9,21,0,12
1,9,21,1,6
1,9,21,2,7
1,9,21,3,7
1,9,21,4,4
1,9,21,5,6
1,9,21,6,6
1,9,21,7,10
1,9,21,8,6
1,9,21,9,5
1,9,21,10,6
1,9,21,11,10
1,9,21,12,16
1,9,21,13,14
1,9,21,14,11
1,9,21,15,10
1,9,21,16,14
1,9,21,17,28
1,9,21,18,36
1,9,21,19,41
1,9,21,20,75
1,9,21,21,78
1,9,21,22,84
1,9,21,23,95
1,9,21,24,122
1,9,21,25,126
1,9,21,26,77
1,9,21,27,49
1,9,21,28,55
1,9,21,29,53
1,9,21,30,36
1,9,21,31,57
1,9,21,32,37
1,9,21,33,32
1,9,21,34,27
1,9,21,35,32
1,9,21,36,45
1,9,21,37,42
1,9,21,38,38
1,9,21,39,44
1,9,21,40,41
1,9,21,41,51
1,9,21,42,53
1,9,21,43,43
1,9,21,44,54
1,9,21,45,48
1,9,21,46,46
1,9,21,47,49
1,9,21,48,46
1,9,21,49,45
1,9,21,50,46
1,9,21,51,47
1,9,21,52,35
1,9,21,53,20
1,9,21,54,20
1,9,21,55,20
1,9,21,56,24
1,9,21,57,19
1,9,21,58,19
1,9,21,59,25
1,9,21,60,20
1,9,21,61,15
1,9,21,62,30
1,9,21,63,13
1,9,21,64,18
1,9,21,65,11
1,9,21,66,11
1,9,21,67,8
1,9,21,68,7
1,9,21,69,19
1,9,21,70,13
1,9,21,71,16
1,9,22,0,17
1,9,22,1,5
1,9,22,2,16
1,9,22,3,6
1,9,22,4,9
1,9,22,5,12
1,9,22,6,4
1,9,22,7,8
1,9,22,8,10
1,9,22,9,7
1,9,22,10,8
1,9,22,11,6
1,9,22,12,4
1,9,22,13,10
1,9,22,14,11
1,9,22,15,5
1,9,22,16,2
1,9,22,17,3
1,9,22,18,6
1,9,22,19,10
1,9,22,20,36
1,9,22,21,28
1,9,22,22,40
1,9,22,23,34
1,9,22,24,50
1,9,22,25,58
1,9,22,26,51
1,9,22,27,43
1,9,22,28,52
1,9,22,29,59
1,9,22,30,47
1,9,22,31,49
1,9,22,32,43
1,9,22,33,27
1,9,22,34,35
1,9,22,35,49
1,9,22,36,34
1,9,22,37,43
1,9,22,38,41
1,9,22,39,46
1,9,22,40,64
1,9,22,41,41
1,9,22,42,58
1,9,22,43,41
1,9,22,44,33
1,9,22,45,61
1,9,22,46,48
1,9,22,47,57
1,9,22,48,58
1,9,22,49,52
1,9,22,50,42
1,9,22,51,29
1,9,22,52,36
1,9,22,53,33
1,9,22,54,26
1,9,22,55,21
1,9,22,56,24
1,9,22,57,30
1,9,22,58,18
1,9,22,59,33
1,9,22,60,24
1,9,22,61,18
1,9,22,62,18
1,9,22,63,17
1,9,22,64,18
1,9,22,65,20
1,9,22,66,9
1,9,22,67,7
1,9,22,68,7
1,9,22,69,2
1,9,22,70,6
1,9,22,71,5
1,9,23,0,10
1,9,23,1,11
1,9,23,2,8
1,9,23,3,9
1,9,23,4,5
1,9,23,5,7
1,9,23,6,4
1,9,23,7,5
1,9,23,8,9
1,9,23,9,8
1,9,23,10,13
1,9,23,11,10
1,9,23,12,7
1,9,23,13,11
1,9,23,14,15
1,9,23,15,6
1,9,23,16,5
1,9,23,17,7
1,9,23,18,12
1,9,23,19,17
1,9,23,20,32
1,9,23,21,28
1,9,23,22,41
1,9,23,23,42
1,9,23,24,49
1,9,23,25,68
1,9,23,26,50
1,9,23,27,41
1,9,23,28,52
1,9,23,29,44
1,9,23,30,58
1,9,23,31,53
1,9,23,32,56
1,9,23,33,56
1,9,23,34,45
1,9,23,35,41
1,9,23,36,56
1,9,23,37,51
1,9,23,38,61
1,9,23,39,57
1,9,23,40,67
1,9,23,41,45
1,9,23,42,58
1,9,23,43,53
1,9,23,44,59
1,9,23,45,47
1,9,23,46,66
1,9,23,47,78
1,9,23,48,76
1,9,23,49,86
1,9,23,50,44
1,9,23,51,45
1,9,23,52,38
1,9,23,53,46
1,9,23,54,40
1,9,23,55,45
1,9,23,56,32
1,9,23,57,29
1,9,23,58,23
1,9,23,59,32
1,9,23,60,27
1,9,23,61,25
1,9,23,62,28
1,9,23,63,15
1,9,23,64,25
1,9,23,65,21
1,9,23,66,21
1,9,23,67,9
1,9,23,68,12
1,9,23,69,4
1,9,23,70,1
1,9,23,71,6
1,9,24,0,9
1,9,24,1,12
1,9,24,2,6
1,9,24,3,14
1,9,24,4,6
1,9,24,5,10
1,9,24,6,10
1,9,24,7,4
1,9,24,8,8
1,9,24,9,11
1,9,24,10,10
1,9,24,11,14
1,9,24,12,6
1,9,24,13,11
1,9,24,14,20
1,9,24,15,4
1,9,24,16,5
1,9,24,17,9
1,9,24,18,8
1,9,24,19,19
1,9,24,20,24
1,9,24,21,28
1,9,24,22,33
1,9,24,23,35
1,9,24,24,43
1,9,24,25,64
1,9,24,26,71
1,9,24,27,52
1,9,24,28,68
1,9,24,29,66
1,9,24,30,56
1,9,24,31,70
1,9,24,32,54
1,9,24,33,54
1,9,24,34,58
1,9,24,35,47
1,9,24,36,49
1,9,24,37,31
1,9,24,38,55
1,9,24,39,41
1,9,24,40,42
1,9,24,41,64
1,9,24,42,56
1,9,24,43,55
1,9,24,44,78
1,9,24,45,55
1,9,24,46,63
1,9,24,47,66
1,9,24,48,81
1,9,24,49,59
1,9,24,50,48
1,9,24,51,73
1,9,24,52,55
1,9,24,53,32
1,9,24,54,42
1,9,24,55,35
1,9,24,56,54
1,9,24,57,32
1,9,24,58,47
1,9,24,59,21
1,9,24,60,23
1,9,24,61,28
1,9,24,62,30
1,9,24,63,23
1,9,24,64,23
1,9,24,65,16
1,9,24,66,16
1,9,24,67,13
1,9,24,68,15
1,9,24,69,6
1,9,24,70,10
1,9,24,71,4
1,9,25,0,14
1,9,25,1,8
1,9,25,2,7
1,9,25,3,8
1,9,25,4,6
1,9,25,5,2
1,9,25,6,5
1,9,25,7,10
1,9,25,8,8
1,9,25,9,5
1,9,25,10,6
1,9,25,11,11
1,9,25,12,7
1,9,25,13,7
1,9,25,14,13
1,9,25,15,9
1,9,25,16,6
1,9,25,17,8
1,9,25,18,10
1,9,25,19,12
1,9,25,20,26
1,9,25,21,20
1,9,25,22,22
1,9,25,23,33
1,9,25,24,35
1,9,25,25,40
1,9,25,26,50
1,9,25,27,41
1,9,25,28,42
1,9,25,29,49
1,9,25,30,50
1,9,25,31,47
1,9,25,32,55
1,9,25,33,55
1,9,25,34,54
1,9,25,35,29
1,9,25,36,47
1,9,25,37,58
1,9,25,38,46
1,9,25,39,57
1,9,25,40,56
1,9,25,41,60
1,9,25,42,72
1,9,25,43,59
1,9,25,44,85
1,9,25,45,65
1,9,25,46,61
1,9,25,47,52
1,9,25,48,70
1,9,25,49,63
1,9,25,50,73
1,9,25,51,63
1,9,25,52,49
1,9,25,53,42
1,9,25,54,56
1,9,25,55,38
1,9,25,56,31
1,9,25,57,37
1,9,25,58,42
1,9,25,59,28
1,9,25,60,35
1,9,25,61,28
1,9,25,62,22
1,9,25,63,23
1,9,25,64,19
1,9,25,65,18
1,9,25,66,16
1,9,25,67,17
1,9,25,68,13
1,9,25,69,10
1,9,25,70,13
1,9,25,71,9
1,9,26,0,9
1,9,26,1,6
1,9,26,2,11
1,9,26,3,2
1,9,26,4,2
1,9,26,5,7
1,9,26,6,8
1,9,26,7,9
1,9,26,8,5
1,9,26,9,9
1,9,26,10,6
1,9,26,11,8
1,9,26,12,7
1,9,26,13,13
1,9,26,14,13
1,9,26,15,6
1,9,26,16,4
1,9,26,17,10
1,9,26,18,13
1,9,26,19,23
1,9,26,20,39
1,9,26,21,44
1,9,26,22,39
1,9,26,23,46
1,9,26,24,49
1,9,26,25,52
1,9,26,26,45
1,9,26,27,48
1,9,26,28,52
1,9,26,29,51
1,9,26,30,47
1,9,26,31,52
1,9,26,32,36
1,9,26,33,36
1,9,26,34,35
1,9,26,35,52
1,9,26,36,48
1,9,26,37,37
1,9,26,38,48
1,9,26,39,54
1,9,26,40,49
1,9,26,41,49
1,9,26,42,44
1,9,26,43,29
1,9,26,44,63
1,9,26,45,33
1,9,26,46,51
1,9,26,47,43
1,9,26,48,44
1,9,26,49,56
1,9,26,50,46
1,9,26,51,47
1,9,26,52,42
1,9,26,53,30
1,9,26,54,33
1,9,26,55,22
1,9,26,56,29
1,9,26,57,31
1,9,26,58,15
1,9,26,59,22
1,9,26,60,19
1,9,26,61,19
1,9,26,62,24
1,9,26,63,14
1,9,26,64,19
1,9,26,65,10
1,9,26,66,10
1,9,26,67,12
1,9,26,68,5
1,9,26,69,3
1,9,26,70,6
1,9,26,71,4
1,9,27,0,12
1,9,27,1,20
1,9,27,2,8
1,9,27,3,5
1,9,27,4,8
1,9,27,5,6
1,9,27,6,7
1,9,27,7,5
1,9,27,8,8
1,9,27,9,9
1,9,27,10,7
1,9,27,11,6
1,9,27,12,16
1,9,27,13,11
1,9,27,14,16
1,9,27,15,6
1,9,27,16,4
1,9,27,17,10
1,9,27,18,12
1,9,27,19,20
1,9,27,20,35
1,9,27,21,56
1,9,27,22,50
1,9,27,23,41
1,9,27,24,60
1,9,27,25,45
1,9,27,26,64
1,9,27,27,58
1,9,27,28,65
1,9,27,29,45
1,9,27,30,50
1,9,27,31,35
1,9,27,32,58
1,9,27,33,31
1,9,27,34,47
1,9,27,35,33
1,9,27,36,34
1,9,27,37,44
1,9,27,38,37
1,9,27,39,57
1,9,27,40,54
1,9,27,41,90
1,9,27,42,54
1,9,27,43,47
1,9,27,44,38
1,9,27,45,39
1,9,27,46,47
1,9,27,47,44
1,9,27,48,58
1,9,27,49,53
1,9,27,50,48
1,9,27,51,52
1,9,27,52,77
1,9,27,53,45
1,9,27,54,30
1,9,27,55,18
1,9,27,56,12
1,9,27,57,40
1,9,27,58,37
1,9,27,59,55
1,9,27,60,47
1,9,27,61,51
1,9,27,62,44
1,9,27,63,34
1,9,27,64,39
1,9,27,65,26
1,9,27,66,26
1,9,27,67,20
1,9,27,68,16
1,9,27,69,12
1,9,27,70,4
1,9,27,71,3
1,9,28,0,7
1,9,28,1,5
1,9,28,2,16
1,9,28,3,10
1,9,28,4,9
1,9,28,5,7
1,9,28,6,5
1,9,28,7,4
1,9,28,8,9
1,9,28,9,6
1,9,28,10,12
1,9,28,11,13
1,9,28,12,9
1,9,28,13,7
1,9,28,14,14
1,9,28,15,22
1,9,28,16,22
1,9,28,17,19
1,9,28,18,30
1,9,28,19,49
1,9,28,20,50
1,9,28,21,91
1,9,28,22,74
1,9,28,23,104
1,9,28,24,128
1,9,28,25,137
1,9,28,26,104
1,9,28,27,111
1,9,28,28,121
1,9,28,29,136
1,9,28,30,109
1,9,28,31,89
1,9,28,32,110
1,9,28,33,88
1,9,28,34,91
1,9,28,35,78
1,9,28,36,87
1,9,28,37,89
1,9,28,38,102
1,9,28,39,104
1,9,28,40,101
1,9,28,41,95
1,9,28,42,103
1,9,28,43,110
1,9,28,44,89
1,9,28,45,91
1,9,28,46,97
1,9,28,47,88
1,9,28,48,105
1,9,28,49,97
1,9,28,50,45
1,9,28,51,31
1,9,28,52,37
1,9,28,53,31
1,9,28,54,26
1,9,28,55,24
1,9,28,56,18
1,9,28,57,28
1,9,28,58,26
1,9,28,59,17
1,9,28,60,20
1,9,28,61,24
1,9,28,62,17
1,9,28,63,24
1,9,28,64,11
1,9,28,65,16
1,9,28,66,7
1,9,28,67,9
1,9,28,68,5
1,9,28,69,11
1,9,28,70,20
1,9,28,71,11
1,9,29,0,4
1,9,29,1,9
1,9,29,2,7
1,9,29,3,3
1,9,29,4,6
1,9,29,5,11
1,9,29,6,7
1,9,29,7,4
1,9,29,8,4
1,9,29,9,3
1,9,29,10,7
1,9,29,11,9
1,9,29,12,10
1,9,29,13,10
1,9,29,14,16
1,9,29,15,6
1,9,29,16,5
1,9,29,17,4
1,9,29,18,4
1,9,29,19,9
1,9,29,20,18
1,9,29,21,25
1,9,29,22,30
1,9,29,23,30
1,9,29,24,41
1,9,29,25,48
1,9,29,26,50
1,9,29,27,47
1,9,29,28,40
1,9,29,29,48
1,9,29,30,56
1,9,29,31,51
1,9,29,32,40
1,9,29,33,39
1,9,29,34,41
1,9,29,35,36
1,9,29,36,35
1,9,29,37,35
1,9,29,38,43
1,9,29,39,50
1,9,29,40,24
1,9,29,41,43
1,9,29,42,48
1,9,29,43,43
1,9,29,44,55
1,9,29,45,53
1,9,29,46,65
1,9,29,47,53
1,9,29,48,60
1,9,29,49,50
1,9,29,50,47
1,9,29,51,30
1,9,29,52,30
1,9,29,53,30
1,9,29,54,22
1,9,29,55,26
1,9,29,56,25
1,9,29,57,18
1,9,29,58,27
1,9,29,59,22
1,9,29,60,30
1,9,29,61,16
1,9,29,62,21
1,9,29,63,24
1,9,29,64,16
1,9,29,65,17
1,9,29,66,15
1,9,29,67,11
1,9,29,68,7
1,9,29,69,3
1,9,29,70,5
1,9,29,71,8
1,9,30,0,18
1,9,30,1,16
1,9,30,2,8
1,9,30,3,12
1,9,30,4,9
1,9,30,5,10
1,9,30,6,5
1,9,30,7,4
1,9,30,8,7
1,9,30,9,10
1,9,30,10,8
1,9,30,11,16
1,9,30,12,19
1,9,30,13,9
1,9,30,14,21
1,9,30,15,7
1,9,30,16,3
1,9,30,17,9
1,9,30,18,10
1,9,30,19,17
1,9,30,20,24
1,9,30,21,29
1,9,30,22,31
1,9,30,23,44
1,9,30,24,46
1,9,30,25,48
1,9,30,26,47
1,9,30,27,60
1,9,30,28,61
1,9,30,29,63
1,9,30,30,80
1,9,30,31,82
1,9,30,32,71
1,9,30,33,55
1,9,30,34,48
1,9,30,35,55
1,9,30,36,74
1,9,30,37,86
1,9,30,38,99
1,9,30,39,108
1,9,30,40,98
1,9,30,41,95
1,9,30,42,88
1,9,30,43,71
1,9,30,44,84
1,9,30,45,75
1,9,30,46,80
1,9,30,47,124
1,9,30,48,130
1,9,30,49,132
1,9,30,50,117
1,9,30,51,87
1,9,30,52,98
1,9,30,53,133
1,9,30,54,137
1,9,30,55,172
1,9,30,56,156
1,9,30,57,156
1,9,30,58,154
1,9,30,59,166
1,9,30,60,159
1,9,30,61,149
1,9,30,62,182
1,9,30,63,151
1,9,30,64,162
1,9,30,65,137
1,9,30,66,123
1,9,30,67,107
1,9,30,68,117
1,9,30,69,101
1,9,30,70,70
1,9,30,71,45
1,10,1,0,86
1,10,1,1,63
1,10,1,2,56
1,10,1,3,65
1,10,1,4,56
1,10,1,5,43
1,10,1,6,31
1,10,1,7,48
1,10,1,8,46
1,10,1,9,41
1,10,1,10,48
1,10,1,11,46
1,10,1,12,59
1,10,1,13,81
1,10,1,14,101
1,10,1,15,142
1,10,1,16,151
1,10,1,17,193
1,10,1,18,213
1,10,1,19,257
1,10,1,20,275
1,10,1,21,267
1,10,1,22,244
1,10,1,23,233
1,10,1,24,217
1,10,1,25,210
1,10,1,26,198
1,10,1,27,251
1,10,1,28,249
1,10,1,29,242
1,10,1,30,281
1,10,1,31,204
1,10,1,32,212
1,10,1,33,202
1,10,1,34,195
1,10,1,35,188
1,10,1,36,200
1,10,1,37,215
1,10,1,38,237
1,10,1,39,239
1,10,1,40,207
1,10,1,41,224
1,10,1,42,246
1,10,1,43,213
1,10,1,44,244
1,10,1,45,203
1,10,1,46,183
1,10,1,47,179
1,10,1,48,188
1,10,1,49,208
1,10,1,50,162
1,10,1,51,161
1,10,1,52,134
1,10,1,53,97
1,10,1,54,99
1,10,1,55,82
1,10,1,56,89
1,10,1,57,76
1,10,1,58,77
1,10,1,59,94
1,10,1,60,88
1,10,1,61,68
1,10,1,62,79
1,10,1,63,51
1,10,1,64,52
1,10,1,65,52
1,10,1,66,46
1,10,1,67,23
1,10,1,68,41
1,10,1,69,35
1,10,1,70,16
1,10,2,71,13
1,10,2,0,13
1,10,2,1,7
1,10,2,2,3
1,10,2,3,3
1,10,2,4,9
1,10,2,5,4
1,10,2,6,18
1,10,2,7,6
1,10,2,8,4
1,10,2,9,10
1,10,2,10,10
1,10,2,11,4
1,10,2,12,9
1,10,2,13,10
1,10,2,14,28
1,10,2,15,27
1,10,2,16,28
1,10,2,17,45
1,10,2,18,64
1,10,2,19,79
1,10,2,20,73
1,10,2,21,163
1,10,2,22,164
1,10,2,23,168
1,10,2,24,203
1,10,2,25,237
1,10,2,26,277
1,10,2,27,266
1,10,2,28,271
1,10,2,29,211
1,10,2,30,130
1,10,2,31,152
1,10,2,32,194
1,10,2,33,160
1,10,2,34,154
1,10,2,35,158
1,10,2,36,146
1,10,2,37,144
1,10,2,38,172
1,10,2,39,175
1,10,2,40,193
1,10,2,41,202
1,10,2,42,158
1,10,2,43,183
1,10,2,44,183
1,10,2,45,182
1,10,2,46,170
1,10,2,47,167
1,10,2,48,162
1,10,2,49,168
1,10,2,50,127
1,10,2,51,166
1,10,2,52,132
1,10,2,53,108
1,10,2,54,97
1,10,2,55,116
1,10,2,56,77
1,10,2,57,92
1,10,2,58,90
1,10,2,59,73
1,10,2,60,82
1,10,2,61,105
1,10,2,62,77
1,10,2,63,64
1,10,2,64,46
1,10,2,65,54
1,10,2,66,57
1,10,2,67,27
1,10,2,68,31
1,10,2,69,13
1,10,2,70,13
1,10,2,71,15
1,10,3,0,22
1,10,3,1,11
1,10,3,2,9
1,10,3,3,8
1,10,3,4,9
1,10,3,5,9
1,10,3,6,8
1,10,3,7,5
1,10,3,8,5
1,10,3,9,4
1,10,3,10,12
1,10,3,11,13
1,10,3,12,14
1,10,3,13,13
1,10,3,14,11
1,10,3,15,26
1,10,3,16,19
1,10,3,17,38
1,10,3,18,34
1,10,3,19,70
1,10,3,20,75
1,10,3,21,91
1,10,3,22,110
1,10,3,23,140
1,10,3,24,189
1,10,3,25,196
1,10,3,26,204
1,10,3,27,90
1,10,3,28,183
1,10,3,29,183
1,10,3,30,170
1,10,3,31,139
1,10,3,32,119
1,10,3,33,103
1,10,3,34,189
1,10,3,35,120
1,10,3,36,133
1,10,3,37,154
1,10,3,38,165
1,10,3,39,155
1,10,3,40,179
1,10,3,41,178
1,10,3,42,183
1,10,3,43,207
1,10,3,44,176
1,10,3,45,176
1,10,3,46,181
1,10,3,47,174
1,10,3,48,147
1,10,3,49,142
1,10,3,50,105
1,10,3,51,153
1,10,3,52,116
1,10,3,53,111
1,10,3,54,111
1,10,3,55,96
1,10,3,56,84
1,10,3,57,88
1,10,3,58,89
1,10,3,59,89
1,10,3,60,75
1,10,3,61,72
1,10,3,62,72
1,10,3,63,70
1,10,3,64,69
1,10,3,65,56
1,10,3,66,36
1,10,3,67,42
1,10,3,68,40
1,10,3,69,37
1,10,3,70,20
1,10,3,71,21
1,10,4,0,10
1,10,4,1,19
1,10,4,2,14
1,10,4,3,12
1,10,4,4,10
1,10,4,5,10
1,10,4,6,7
1,10,4,7,8
1,10,4,8,6
1,10,4,9,8
1,10,4,10,10
1,10,4,11,11
1,10,4,12,7
1,10,4,13,10
1,10,4,14,13
1,10,4,15,18
1,10,4,16,27
1,10,4,17,30
1,10,4,18,40
1,10,4,19,58
1,10,4,20,82
1,10,4,21,102
1,10,4,22,123
1,10,4,23,135
1,10,4,24,175
1,10,4,25,192
1,10,4,26,215
1,10,4,27,232
1,10,4,28,207
1,10,4,29,229
1,10,4,30,241
1,10,4,31,213
1,10,4,32,224
1,10,4,33,176
1,10,4,34,164
1,10,4,35,151
1,10,4,36,140
1,10,4,37,141
1,10,4,38,167
1,10,4,39,163
1,10,4,40,173
1,10,4,41,138
1,10,4,42,191
1,10,4,43,174
1,10,4,44,196
1,10,4,45,200
1,10,4,46,215
1,10,4,47,189
1,10,4,48,199
1,10,4,49,224
1,10,4,50,216
1,10,4,51,205
1,10,4,52,193
1,10,4,53,173
1,10,4,54,131
1,10,4,55,107
1,10,4,56,111
1,10,4,57,130
1,10,4,58,115
1,10,4,59,123
1,10,4,60,109
1,10,4,61,126
1,10,4,62,86
1,10,4,63,80
1,10,4,64,52
1,10,4,65,47
1,10,4,66,45
1,10,4,67,39
1,10,4,68,27
1,10,4,69,28
1,10,4,70,16
1,10,4,71,21
1,10,5,0,31
1,10,5,1,18
1,10,5,2,16
1,10,5,3,6
1,10,5,4,12
1,10,5,5,7
1,10,5,6,9
1,10,5,7,13
1,10,5,8,3
1,10,5,9,11
1,10,5,10,5
1,10,5,11,6
1,10,5,12,10
1,10,5,13,11
1,10,5,14,22
1,10,5,15,25
1,10,5,16,23
1,10,5,17,41
1,10,5,18,43
1,10,5,19,67
1,10,5,20,86
1,10,5,21,87
1,10,5,22,102
1,10,5,23,130
1,10,5,24,130
1,10,5,25,192
1,10,5,26,182
1,10,5,27,165
1,10,5,28,188
1,10,5,29,166
1,10,5,30,179
1,10,5,31,212
1,10,5,32,223
1,10,5,33,181
1,10,5,34,180
1,10,5,35,142
1,10,5,36,173
1,10,5,37,131
1,10,5,38,167
1,10,5,39,162
1,10,5,40,177
1,10,5,41,178
1,10,5,42,222
1,10,5,43,184
1,10,5,44,198
1,10,5,45,239
1,10,5,46,217
1,10,5,47,191
1,10,5,48,253
1,10,5,49,246
1,10,5,50,205
1,10,5,51,163
1,10,5,52,179
1,10,5,53,215
1,10,5,54,189
1,10,5,55,175
1,10,5,56,128
1,10,5,57,107
1,10,5,58,162
1,10,5,59,140
1,10,5,60,152
1,10,5,61,149
1,10,5,62,145
1,10,5,63,125
1,10,5,64,93
1,10,5,65,52
1,10,5,66,43
1,10,5,67,43
1,10,5,68,43
1,10,5,69,27
1,10,5,70,23
1,10,5,71,26
1,10,6,0,21
1,10,6,1,22
1,10,6,2,17
1,10,6,3,13
1,10,6,4,10
1,10,6,5,9
1,10,6,6,13
1,10,6,7,3
1,10,6,8,9
1,10,6,9,17
1,10,6,10,9
1,10,6,11,16
1,10,6,12,8
1,10,6,13,16
1,10,6,14,13
1,10,6,15,28
1,10,6,16,26
1,10,6,17,28
1,10,6,18,46
1,10,6,19,53
1,10,6,20,72
1,10,6,21,80
1,10,6,22,114
1,10,6,23,135
1,10,6,24,122
1,10,6,25,150
1,10,6,26,170
1,10,6,27,160
1,10,6,28,189
1,10,6,29,173
1,10,6,30,178
1,10,6,31,132
1,10,6,32,130
1,10,6,33,147
1,10,6,34,135
1,10,6,35,147
1,10,6,36,113
1,10,6,37,139
1,10,6,38,140
1,10,6,39,168
1,10,6,40,192
1,10,6,41,200
1,10,6,42,202
1,10,6,43,201
1,10,6,44,201
1,10,6,45,224
1,10,6,46,209
1,10,6,47,193
1,10,6,48,201
1,10,6,49,211
1,10,6,50,170
1,10,6,51,196
1,10,6,52,163
1,10,6,53,154
1,10,6,54,157
1,10,6,55,130
1,10,6,56,140
1,10,6,57,156
1,10,6,58,140
1,10,6,59,133
1,10,6,60,145
1,10,6,61,126
1,10,6,62,85
1,10,6,63,53
1,10,6,64,66
1,10,6,65,63
1,10,6,66,36
1,10,6,67,33
1,10,6,68,22
1,10,6,69,9
1,10,6,70,26
1,10,6,71,25
1,10,7,0,17
1,10,7,1,15
1,10,7,2,9
1,10,7,3,15
1,10,7,4,10
1,10,7,5,10
1,10,7,6,13
1,10,7,7,9
1,10,7,8,8
1,10,7,9,9
1,10,7,10,9
1,10,7,11,10
1,10,7,12,17
1,10,7,13,10
1,10,7,14,17
1,10,7,15,11
1,10,7,16,20
1,10,7,17,27
1,10,7,18,40
1,10,7,19,53
1,10,7,20,79
1,10,7,21,94
1,10,7,22,112
1,10,7,23,92
1,10,7,24,110
1,10,7,25,122
1,10,7,26,113
1,10,7,27,147
1,10,7,28,155
1,10,7,29,148
1,10,7,30,151
1,10,7,31,119
1,10,7,32,153
1,10,7,33,130
1,10,7,34,122
1,10,7,35,115
1,10,7,36,150
1,10,7,37,101
1,10,7,38,154
1,10,7,39,153
1,10,7,40,153
1,10,7,41,197
1,10,7,42,175
1,10,7,43,184
1,10,7,44,234
1,10,7,45,188
1,10,7,46,190
1,10,7,47,202
1,10,7,48,182
1,10,7,49,159
1,10,7,50,179
1,10,7,51,172
1,10,7,52,118
1,10,7,53,130
1,10,7,54,95
1,10,7,55,98
1,10,7,56,64
1,10,7,57,85
1,10,7,58,105
1,10,7,59,91
1,10,7,60,91
1,10,7,61,70
1,10,7,62,62
1,10,7,63,47
1,10,7,64,34
1,10,7,65,39
1,10,7,66,40
1,10,7,67,24
1,10,7,68,28
1,10,7,69,44
1,10,7,70,58
1,10,7,71,50
1,10,8,0,15
1,10,8,1,10
1,10,8,2,6
1,10,8,3,4
1,10,8,4,9
1,10,8,5,3
1,10,8,6,7
1,10,8,7,7
1,10,8,8,6
1,10,8,9,5
1,10,8,10,3
1,10,8,11,5
1,10,8,12,5
1,10,8,13,13
1,10,8,14,9
1,10,8,15,2
1,10,8,16,2
1,10,8,17,7
1,10,8,18,9
1,10,8,19,12
1,10,8,20,19
1,10,8,21,21
1,10,8,22,36
1,10,8,23,27
1,10,8,24,31
1,10,8,25,39
1,10,8,26,38
1,10,8,27,35
1,10,8,28,31
