"tollgate_id","time_window","direction","volume","has_etc","car_model"
"3","(2016-09-19 06:00:00,2016-09-19 06:20:00)","1","30","5","[0, 18, 7, 2, 0, 1, 0, 2]"
"3","(2016-09-19 06:00:00,2016-09-19 06:20:00)","0","39","6","[0, 26, 13, 0, 0, 0, 0, 0]"
"2","(2016-09-19 06:00:00,2016-09-19 06:20:00)","0","30","5","[0, 22, 8, 0, 0, 0, 0, 0]"
"1","(2016-09-19 06:20:00,2016-09-19 06:40:00)","1","57","8","[0, 44, 9, 1, 0, 3, 0, 0]"
"1","(2016-09-19 06:20:00,2016-09-19 06:40:00)","0","13","5","[0, 12, 1, 0, 0, 0, 0, 0]"
"3","(2016-09-19 06:20:00,2016-09-19 06:40:00)","1","38","9","[0, 25, 6, 1, 3, 2, 0, 1]"
"3","(2016-09-19 06:20:00,2016-09-19 06:40:00)","0","58","17","[1, 40, 15, 0, 2, 0, 0, 0]"
"2","(2016-09-19 06:20:00,2016-09-19 06:40:00)","0","36","4","[0, 26, 10, 0, 0, 0, 0, 0]"
"1","(2016-09-19 06:40:00,2016-09-19 07:00:00)","1","72","11","[0, 52, 14, 0, 0, 3, 0, 3]"
"1","(2016-09-19 06:40:00,2016-09-19 07:00:00)","0","32","9","[0, 28, 2, 1, 1, 0, 0, 0]"
"3","(2016-09-19 06:40:00,2016-09-19 07:00:00)","1","65","16","[0, 58, 5, 2, 0, 0, 0, 0]"
"3","(2016-09-19 06:40:00,2016-09-19 07:00:00)","0","71","25","[0, 60, 8, 1, 2, 0, 0, 0]"
"2","(2016-09-19 06:40:00,2016-09-19 07:00:00)","0","37","10","[0, 28, 9, 0, 0, 0, 0, 0]"
"1","(2016-09-19 07:00:00,2016-09-19 07:20:00)","1","70","14","[0, 53, 13, 1, 0, 3, 0, 0]"
"1","(2016-09-19 07:00:00,2016-09-19 07:20:00)","0","39","10","[0, 34, 3, 1, 1, 0, 0, 0]"
"3","(2016-09-19 07:00:00,2016-09-19 07:20:00)","1","67","15","[0, 59, 4, 1, 2, 1, 0, 0]"
"3","(2016-09-19 07:00:00,2016-09-19 07:20:00)","0","127","47","[0, 101, 20, 2, 4, 0, 0, 0]"
"2","(2016-09-19 07:00:00,2016-09-19 07:20:00)","0","84","34","[0, 80, 3, 0, 1, 0, 0, 0]"
"1","(2016-09-19 07:20:00,2016-09-19 07:40:00)","1","83","19","[0, 70, 6, 3, 2, 2, 0, 0]"
"1","(2016-09-19 07:20:00,2016-09-19 07:40:00)","0","31","11","[0, 30, 1, 0, 0, 0, 0, 0]"
"3","(2016-09-19 07:20:00,2016-09-19 07:40:00)","1","71","21","[0, 65, 1, 1, 1, 2, 0, 1]"
"3","(2016-09-19 07:20:00,2016-09-19 07:40:00)","0","123","43","[0, 112, 8, 1, 2, 0, 0, 0]"
"2","(2016-09-19 07:20:00,2016-09-19 07:40:00)","0","80","36","[0, 73, 7, 0, 0, 0, 0, 0]"
"1","(2016-09-19 07:40:00,2016-09-19 08:00:00)","1","118","35","[0, 106, 5, 3, 2, 2, 0, 0]"
"1","(2016-09-19 07:40:00,2016-09-19 08:00:00)","0","43","16","[0, 40, 2, 1, 0, 0, 0, 0]"
"3","(2016-09-19 07:40:00,2016-09-19 08:00:00)","1","103","33","[0, 97, 3, 2, 0, 1, 0, 0]"
"3","(2016-09-19 07:40:00,2016-09-19 08:00:00)","0","153","57","[0, 139, 12, 0, 2, 0, 0, 0]"
"2","(2016-09-19 07:40:00,2016-09-19 08:00:00)","0","97","36","[0, 93, 4, 0, 0, 0, 0, 0]"
"1","(2016-09-19 08:00:00,2016-09-19 08:20:00)","1","123","32","[0, 111, 7, 1, 4, 0, 0, 0]"
"1","(2016-09-19 08:00:00,2016-09-19 08:20:00)","0","46","17","[0, 42, 3, 1, 0, 0, 0, 0]"
"3","(2016-09-19 08:00:00,2016-09-19 08:20:00)","1","118","48","[0, 112, 4, 2, 0, 0, 0, 0]"
"3","(2016-09-19 08:00:00,2016-09-19 08:20:00)","0","161","57","[0, 143, 17, 0, 1, 0, 0, 0]"
"2","(2016-09-19 08:00:00,2016-09-19 08:20:00)","0","129","43","[0, 124, 5, 0, 0, 0, 0, 0]"
"1","(2016-09-19 08:20:00,2016-09-19 08:40:00)","1","119","25","[0, 106, 5, 2, 4, 2, 0, 0]"
"1","(2016-09-19 08:20:00,2016-09-19 08:40:00)","0","56","17","[0, 49, 4, 2, 1, 0, 0, 0]"
"3","(2016-09-19 08:20:00,2016-09-19 08:40:00)","1","168","57","[0, 147, 4, 4, 13, 0, 0, 0]"
"3","(2016-09-19 08:20:00,2016-09-19 08:40:00)","0","167","42","[0, 146, 21, 0, 0, 0, 0, 0]"
"2","(2016-09-19 08:20:00,2016-09-19 08:40:00)","0","122","41","[0, 111, 8, 1, 2, 0, 0, 0]"
"1","(2016-09-19 08:40:00,2016-09-19 09:00:00)","1","116","26","[0, 99, 10, 0, 5, 2, 0, 0]"
"1","(2016-09-19 08:40:00,2016-09-19 09:00:00)","0","41","9","[9, 30, 1, 1, 0, 0, 0, 0]"
"3","(2016-09-19 08:40:00,2016-09-19 09:00:00)","1","161","64","[0, 144, 8, 2, 1, 5, 0, 1]"
"3","(2016-09-19 08:40:00,2016-09-19 09:00:00)","0","138","44","[0, 115, 19, 2, 2, 0, 0, 0]"
"2","(2016-09-19 08:40:00,2016-09-19 09:00:00)","0","98","30","[0, 91, 7, 0, 0, 0, 0, 0]"
"1","(2016-09-19 09:00:00,2016-09-19 09:20:00)","1","120","34","[0, 114, 3, 2, 0, 0, 0, 1]"
"1","(2016-09-19 09:00:00,2016-09-19 09:20:00)","0","50","18","[0, 44, 6, 0, 0, 0, 0, 0]"
"3","(2016-09-19 09:00:00,2016-09-19 09:20:00)","1","145","44","[0, 130, 10, 3, 1, 1, 0, 0]"
"3","(2016-09-19 09:00:00,2016-09-19 09:20:00)","0","174","40","[0, 143, 29, 1, 1, 0, 0, 0]"
"2","(2016-09-19 09:00:00,2016-09-19 09:20:00)","0","89","15","[0, 83, 5, 1, 0, 0, 0, 0]"
"1","(2016-09-19 09:20:00,2016-09-19 09:40:00)","1","151","34","[0, 135, 10, 1, 4, 1, 0, 0]"
"1","(2016-09-19 09:20:00,2016-09-19 09:40:00)","0","49","10","[0, 41, 7, 0, 1, 0, 0, 0]"
"3","(2016-09-19 09:20:00,2016-09-19 09:40:00)","1","125","29","[0, 118, 0, 6, 0, 1, 0, 0]"
"3","(2016-09-19 09:20:00,2016-09-19 09:40:00)","0","144","23","[0, 125, 19, 0, 0, 0, 0, 0]"
"2","(2016-09-19 09:20:00,2016-09-19 09:40:00)","0","78","18","[0, 74, 4, 0, 0, 0, 0, 0]"
"1","(2016-09-19 09:40:00,2016-09-19 10:00:00)","1","131","27","[0, 112, 12, 2, 0, 3, 0, 2]"
"1","(2016-09-19 09:40:00,2016-09-19 10:00:00)","0","44","3","[0, 42, 2, 0, 0, 0, 0, 0]"
"3","(2016-09-19 09:40:00,2016-09-19 10:00:00)","1","116","25","[0, 106, 5, 3, 0, 1, 0, 1]"
"3","(2016-09-19 09:40:00,2016-09-19 10:00:00)","0","148","28","[0, 123, 23, 1, 1, 0, 0, 0]"
"2","(2016-09-19 09:40:00,2016-09-19 10:00:00)","0","59","12","[0, 57, 2, 0, 0, 0, 0, 0]"
"1","(2016-09-19 10:00:00,2016-09-19 10:20:00)","1","101","15","[0, 80, 15, 3, 1, 2, 0, 0]"
"1","(2016-09-19 10:00:00,2016-09-19 10:20:00)","0","44","7","[0, 38, 6, 0, 0, 0, 0, 0]"
"3","(2016-09-19 10:00:00,2016-09-19 10:20:00)","1","117","26","[0, 100, 8, 4, 3, 2, 0, 0]"
"3","(2016-09-19 10:00:00,2016-09-19 10:20:00)","0","104","24","[0, 80, 22, 1, 1, 0, 0, 0]"
"2","(2016-09-19 10:00:00,2016-09-19 10:20:00)","0","71","18","[0, 69, 2, 0, 0, 0, 0, 0]"
"1","(2016-09-19 10:20:00,2016-09-19 10:40:00)","1","105","20","[0, 90, 9, 4, 1, 1, 0, 0]"
"1","(2016-09-19 10:20:00,2016-09-19 10:40:00)","0","44","6","[0, 43, 1, 0, 0, 0, 0, 0]"
"3","(2016-09-19 10:20:00,2016-09-19 10:40:00)","1","87","17","[0, 77, 3, 2, 0, 5, 0, 0]"
"3","(2016-09-19 10:20:00,2016-09-19 10:40:00)","0","111","22","[0, 85, 25, 0, 1, 0, 0, 0]"
"2","(2016-09-19 10:20:00,2016-09-19 10:40:00)","0","88","11","[0, 63, 25, 0, 0, 0, 0, 0]"
"1","(2016-09-19 10:40:00,2016-09-19 11:00:00)","1","102","20","[0, 87, 11, 1, 0, 2, 0, 1]"
"1","(2016-09-19 10:40:00,2016-09-19 11:00:00)","0","44","10","[0, 41, 2, 0, 1, 0, 0, 0]"
"3","(2016-09-19 10:40:00,2016-09-19 11:00:00)","1","85","19","[0, 74, 6, 4, 0, 1, 0, 0]"
"3","(2016-09-19 10:40:00,2016-09-19 11:00:00)","0","122","19","[1, 86, 34, 1, 0, 0, 0, 0]"
"2","(2016-09-19 10:40:00,2016-09-19 11:00:00)","0","65","14","[0, 52, 12, 0, 0, 0, 0, 1]"
"1","(2016-09-19 11:00:00,2016-09-19 11:20:00)","1","86","24","[0, 70, 9, 2, 3, 2, 0, 0]"
"1","(2016-09-19 11:00:00,2016-09-19 11:20:00)","0","39","9","[0, 32, 6, 1, 0, 0, 0, 0]"
"3","(2016-09-19 11:00:00,2016-09-19 11:20:00)","1","73","20","[0, 61, 4, 4, 1, 2, 0, 1]"
"3","(2016-09-19 11:00:00,2016-09-19 11:20:00)","0","111","26","[0, 90, 20, 0, 1, 0, 0, 0]"
"2","(2016-09-19 11:00:00,2016-09-19 11:20:00)","0","50","13","[0, 40, 10, 0, 0, 0, 0, 0]"
"1","(2016-09-19 11:20:00,2016-09-19 11:40:00)","1","76","17","[0, 65, 8, 2, 1, 0, 0, 0]"
"1","(2016-09-19 11:20:00,2016-09-19 11:40:00)","0","30","7","[0, 25, 5, 0, 0, 0, 0, 0]"
"3","(2016-09-19 11:20:00,2016-09-19 11:40:00)","1","72","22","[0, 59, 6, 5, 0, 2, 0, 0]"
"3","(2016-09-19 11:20:00,2016-09-19 11:40:00)","0","82","15","[0, 61, 18, 0, 3, 0, 0, 0]"
"2","(2016-09-19 11:20:00,2016-09-19 11:40:00)","0","61","14","[0, 53, 8, 0, 0, 0, 0, 0]"
"1","(2016-09-19 11:40:00,2016-09-19 12:00:00)","1","100","22","[0, 76, 11, 1, 3, 9, 0, 0]"
"1","(2016-09-19 11:40:00,2016-09-19 12:00:00)","0","34","10","[0, 32, 1, 0, 0, 0, 0, 1]"
"3","(2016-09-19 11:40:00,2016-09-19 12:00:00)","1","73","18","[0, 63, 4, 2, 0, 4, 0, 0]"
"3","(2016-09-19 11:40:00,2016-09-19 12:00:00)","0","91","20","[0, 72, 17, 0, 2, 0, 0, 0]"
"2","(2016-09-19 11:40:00,2016-09-19 12:00:00)","0","46","9","[0, 39, 7, 0, 0, 0, 0, 0]"
"1","(2016-09-19 12:00:00,2016-09-19 12:20:00)","1","99","20","[0, 79, 15, 3, 1, 1, 0, 0]"
"1","(2016-09-19 12:00:00,2016-09-19 12:20:00)","0","45","8","[0, 43, 2, 0, 0, 0, 0, 0]"
"3","(2016-09-19 12:00:00,2016-09-19 12:20:00)","1","94","24","[0, 86, 3, 3, 0, 2, 0, 0]"
"3","(2016-09-19 12:00:00,2016-09-19 12:20:00)","0","104","31","[0, 84, 19, 0, 1, 0, 0, 0]"
"2","(2016-09-19 12:00:00,2016-09-19 12:20:00)","0","87","18","[0, 70, 17, 0, 0, 0, 0, 0]"
"1","(2016-09-19 12:20:00,2016-09-19 12:40:00)","1","70","14","[0, 61, 6, 0, 0, 3, 0, 0]"
"1","(2016-09-19 12:20:00,2016-09-19 12:40:00)","0","44","14","[0, 40, 2, 2, 0, 0, 0, 0]"
"3","(2016-09-19 12:20:00,2016-09-19 12:40:00)","1","86","20","[0, 75, 3, 1, 1, 6, 0, 0]"
"3","(2016-09-19 12:20:00,2016-09-19 12:40:00)","0","91","19","[0, 66, 24, 0, 1, 0, 0, 0]"
"2","(2016-09-19 12:20:00,2016-09-19 12:40:00)","0","66","18","[0, 52, 14, 0, 0, 0, 0, 0]"
"1","(2016-09-19 12:40:00,2016-09-19 13:00:00)","1","79","15","[0, 59, 9, 5, 4, 2, 0, 0]"
"1","(2016-09-19 12:40:00,2016-09-19 13:00:00)","0","53","18","[0, 48, 3, 1, 1, 0, 0, 0]"
"3","(2016-09-19 12:40:00,2016-09-19 13:00:00)","1","94","22","[0, 85, 3, 5, 0, 1, 0, 0]"
"3","(2016-09-19 12:40:00,2016-09-19 13:00:00)","0","122","23","[0, 105, 13, 1, 3, 0, 0, 0]"
"2","(2016-09-19 12:40:00,2016-09-19 13:00:00)","0","69","14","[0, 57, 12, 0, 0, 0, 0, 0]"
"1","(2016-09-19 13:00:00,2016-09-19 13:20:00)","1","100","15","[0, 79, 14, 1, 1, 5, 0, 0]"
"1","(2016-09-19 13:00:00,2016-09-19 13:20:00)","0","57","17","[0, 48, 7, 2, 0, 0, 0, 0]"
"3","(2016-09-19 13:00:00,2016-09-19 13:20:00)","1","91","22","[0, 82, 5, 2, 0, 2, 0, 0]"
"3","(2016-09-19 13:00:00,2016-09-19 13:20:00)","0","117","32","[0, 102, 12, 1, 2, 0, 0, 0]"
"2","(2016-09-19 13:00:00,2016-09-19 13:20:00)","0","81","26","[0, 68, 9, 1, 3, 0, 0, 0]"
"1","(2016-09-19 13:20:00,2016-09-19 13:40:00)","1","108","23","[0, 85, 7, 3, 6, 7, 0, 0]"
"1","(2016-09-19 13:20:00,2016-09-19 13:40:00)","0","61","17","[0, 54, 6, 1, 0, 0, 0, 0]"
"3","(2016-09-19 13:20:00,2016-09-19 13:40:00)","1","110","26","[0, 99, 5, 3, 1, 2, 0, 0]"
"3","(2016-09-19 13:20:00,2016-09-19 13:40:00)","0","107","23","[0, 80, 23, 0, 4, 0, 0, 0]"
"2","(2016-09-19 13:20:00,2016-09-19 13:40:00)","0","95","29","[0, 77, 9, 2, 7, 0, 0, 0]"
"1","(2016-09-19 13:40:00,2016-09-19 14:00:00)","1","106","27","[0, 88, 10, 2, 2, 4, 0, 0]"
"1","(2016-09-19 13:40:00,2016-09-19 14:00:00)","0","53","17","[0, 51, 2, 0, 0, 0, 0, 0]"
"3","(2016-09-19 13:40:00,2016-09-19 14:00:00)","1","100","24","[0, 94, 3, 1, 1, 1, 0, 0]"
"3","(2016-09-19 13:40:00,2016-09-19 14:00:00)","0","131","27","[0, 104, 26, 0, 1, 0, 0, 0]"
"2","(2016-09-19 13:40:00,2016-09-19 14:00:00)","0","67","20","[0, 52, 13, 1, 0, 0, 0, 1]"
"1","(2016-09-19 14:00:00,2016-09-19 14:20:00)","1","101","26","[0, 94, 7, 0, 0, 0, 0, 0]"
"1","(2016-09-19 14:00:00,2016-09-19 14:20:00)","0","55","15","[0, 50, 4, 1, 0, 0, 0, 0]"
"3","(2016-09-19 14:00:00,2016-09-19 14:20:00)","1","95","26","[0, 80, 2, 7, 2, 4, 0, 0]"
"3","(2016-09-19 14:00:00,2016-09-19 14:20:00)","0","100","21","[0, 78, 21, 0, 1, 0, 0, 0]"
"2","(2016-09-19 14:00:00,2016-09-19 14:20:00)","0","66","12","[0, 52, 13, 1, 0, 0, 0, 0]"
"1","(2016-09-19 14:20:00,2016-09-19 14:40:00)","1","100","19","[0, 78, 11, 4, 3, 4, 0, 0]"
"1","(2016-09-19 14:20:00,2016-09-19 14:40:00)","0","52","10","[0, 46, 5, 1, 0, 0, 0, 0]"
"3","(2016-09-19 14:20:00,2016-09-19 14:40:00)","1","99","28","[0, 93, 3, 1, 0, 2, 0, 0]"
"3","(2016-09-19 14:20:00,2016-09-19 14:40:00)","0","84","20","[0, 64, 18, 0, 2, 0, 0, 0]"
"2","(2016-09-19 14:20:00,2016-09-19 14:40:00)","0","62","16","[0, 54, 6, 1, 1, 0, 0, 0]"
"1","(2016-09-19 14:40:00,2016-09-19 15:00:00)","1","101","18","[0, 86, 12, 0, 1, 1, 0, 1]"
"1","(2016-09-19 14:40:00,2016-09-19 15:00:00)","0","52","14","[0, 49, 3, 0, 0, 0, 0, 0]"
"3","(2016-09-19 14:40:00,2016-09-19 15:00:00)","1","93","21","[0, 86, 4, 1, 0, 2, 0, 0]"
"3","(2016-09-19 14:40:00,2016-09-19 15:00:00)","0","107","26","[0, 83, 21, 2, 1, 0, 0, 0]"
"2","(2016-09-19 14:40:00,2016-09-19 15:00:00)","0","79","21","[0, 70, 6, 2, 1, 0, 0, 0]"
"1","(2016-09-19 15:00:00,2016-09-19 15:20:00)","1","77","17","[0, 73, 2, 2, 0, 0, 0, 0]"
"1","(2016-09-19 15:00:00,2016-09-19 15:20:00)","0","48","15","[0, 44, 3, 1, 0, 0, 0, 0]"
"3","(2016-09-19 15:00:00,2016-09-19 15:20:00)","1","75","19","[0, 69, 2, 3, 1, 0, 0, 0]"
"3","(2016-09-19 15:00:00,2016-09-19 15:20:00)","0","117","27","[0, 94, 22, 0, 1, 0, 0, 0]"
"2","(2016-09-19 15:00:00,2016-09-19 15:20:00)","0","77","19","[0, 59, 17, 0, 1, 0, 0, 0]"
"1","(2016-09-19 15:20:00,2016-09-19 15:40:00)","1","104","18","[0, 88, 11, 3, 1, 1, 0, 0]"
"1","(2016-09-19 15:20:00,2016-09-19 15:40:00)","0","57","8","[0, 52, 3, 2, 0, 0, 0, 0]"
"3","(2016-09-19 15:20:00,2016-09-19 15:40:00)","1","95","20","[0, 86, 2, 3, 3, 1, 0, 0]"
"3","(2016-09-19 15:20:00,2016-09-19 15:40:00)","0","109","28","[0, 90, 18, 0, 1, 0, 0, 0]"
